stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2024-01-21T00:00:00.000,Lecce vs Juventus,—,Under 2.5 Gol,1.63,71.5,16.5,32.73,✗ Persa,-32.73
2023-24,2024-01-21T00:00:00.000,Lecce vs Juventus,—,1 - Vittoria Casa,6.23,22.9,42.9,10.26,✗ Persa,-10.26
2023-24,2024-01-21T00:00:00.000,Salernitana vs Genoa,—,1 - Vittoria Casa,3.73,49.7,85.5,39.17,✗ Persa,-39.17
2023-24,2024-01-27T00:00:00.000,Atalanta vs Udinese,—,2 - Vittoria Ospite,6.55,19.4,27.4,6.17,✗ Persa,-6.17
2023-24,2024-01-27T00:00:00.000,Juventus vs Empoli,—,2 - Vittoria Ospite,11.88,16.8,99.8,11.47,✗ Persa,-11.47
2023-24,2024-01-27T00:00:00.000,Juventus vs Empoli,—,X - Pareggio,5.55,26.9,49.4,13.56,✓ Vinta,61.7
2023-24,2024-01-27T00:00:00.000,Juventus vs Empoli,—,Under 2.5 Gol,2,61.6,23.1,28.92,✓ Vinta,28.92
2023-24,2024-01-27T00:00:00.000,Milan vs Bologna,—,2 - Vittoria Ospite,5.11,23.3,19,5.78,✗ Persa,-5.78
2023-24,2024-01-28T00:00:00.000,Genoa vs Lecce,—,2 - Vittoria Ospite,4.2,34,43,16.79,✗ Persa,-16.79
2023-24,2024-01-28T00:00:00.000,Genoa vs Lecce,—,Under 2.5 Gol,1.49,83.3,24.2,61.66,✗ Persa,-61.66
2023-24,2024-01-28T00:00:00.000,Monza vs Sassuolo,—,1 - Vittoria Casa,2.36,49.6,17,15.63,✓ Vinta,21.26
2023-24,2024-01-28T00:00:00.000,Fiorentina vs Inter,—,1 - Vittoria Casa,4.13,32.3,33.4,13.35,✗ Persa,-13.35
2023-24,2024-01-29T00:00:00.000,Salernitana vs Roma,—,1 - Vittoria Casa,5.79,29,68,17.75,✗ Persa,-17.75
2023-24,2024-02-03T00:00:00.000,Empoli vs Genoa,—,1 - Vittoria Casa,3.04,48.2,46.6,28.58,✗ Persa,-28.58
